case,ratio,rho,run,triaxial_nd2_class,triaxial_nd2_behaviour_family,triaxial_nd2_det,triaxial_nd2_max_diag_fraction,triaxial_nd2_spectral_entropy,triaxial_nd2_top5_power_fraction,triaxial_nd3_class,triaxial_nd3_behaviour_family,triaxial_nd3_det,triaxial_nd3_max_diag_fraction,triaxial_nd3_spectral_entropy,triaxial_nd3_top5_power_fraction,triaxial_exact_class,triaxial_exact_behaviour_family,triaxial_exact_det,triaxial_exact_max_diag_fraction,triaxial_exact_spectral_entropy,triaxial_exact_top5_power_fraction,spheroid_nd2_class,spheroid_nd2_behaviour_family,spheroid_nd2_det,spheroid_nd2_max_diag_fraction,spheroid_nd2_spectral_entropy,spheroid_nd2_top5_power_fraction,spheroid_exact_class,spheroid_exact_behaviour_family,spheroid_exact_det,spheroid_exact_max_diag_fraction,spheroid_exact_spectral_entropy,spheroid_exact_top5_power_fraction,triaxial_nd2_rms_to_exact,triaxial_nd3_rms_to_exact,spheroid_nd2_rms_to_exact,triaxial_mesh_class_changed,triaxial_mesh_family_changed,triaxial_nd3_exact_class_changed,triaxial_nd3_exact_family_changed,spheroid_exact_class_changed,spheroid_exact_family_changed,triaxial_mesh_metric_shift,triaxial_nd3_exact_metric_shift,spheroid_exact_metric_shift
ratio1_rho4_run01,1.0,4.0,1,quasi-periodic,regular,0.9997137899576052,0.3043917213528521,0.20024010886666946,0.9767522877115482,quasi-periodic,regular,0.9997137899576052,0.3033821302372539,0.20091648281087693,0.9768008959858769,quasi-periodic,regular,0.9998747831064523,0.309439676930843,0.20075214947751632,0.9757862891441103,periodic,periodic,0.9998747831064523,0.9146895507319536,0.13099095521891604,0.9985880915102574,periodic,periodic,0.9999105593617517,0.9151943462897526,0.13057318585978012,0.9988019444980798,0.08164129153464017,0.05507768953279213,0.20927222606770535,False,False,False,False,False,False,False,False,False
ratio1_rho4_run02,1.0,4.0,2,sensitive-regular,regular,0.9999284474894012,0.09187279151943463,0.20031561928924974,0.9506373891984135,quasi-periodic,regular,0.9999463356170509,0.22968197879858657,0.2009093405182157,0.9526331427704283,sensitive-regular,regular,0.9999821118723503,0.07874810701665826,0.20111505158909138,0.9696580016219809,periodic,periodic,0.9998390068511529,0.93336698637052,0.13139012703817596,0.9991507886921946,periodic,periodic,0.9999284474894012,0.93336698637052,0.13043349214555036,0.9992731234861779,0.3752842964912256,0.32215062900026187,0.08300692933902054,True,False,True,False,False,False,True,True,False
ratio1_rho4_run03,1.0,4.0,3,periodic,periodic,0.9998568949788026,0.93891973750631,0.1728993901288488,0.9974622764679121,periodic,periodic,0.9998747831064523,0.93891973750631,0.1707437989524963,0.9974126264437575,periodic,periodic,0.9999463356170509,0.93891973750631,0.16794735182205225,0.9973598020690407,periodic,periodic,0.9999284474894012,0.9409389197375063,0.13665284986801138,0.9992942846197274,periodic,periodic,0.9998747831064523,0.9409389197375063,0.13512120818090176,0.9992734980704313,0.1913204194549562,0.11377515202644838,0.1460274938010042,False,False,False,False,False,False,False,False,False
ratio1_rho4_run04,1.0,4.0,4,sensitive-regular,regular,0.999892671234102,0.07773851590106007,0.1889267004306357,0.9696265399367157,sensitive-regular,regular,0.9998568949788026,0.07420494699646643,0.18926622388621,0.9695439811532317,sensitive-regular,regular,0.9998211187235032,0.07269056032306916,0.18937612917284238,0.9695242590238953,periodic,periodic,0.999892671234102,0.9379101463907118,0.1272355581297455,0.9995766458074843,periodic,periodic,0.9999463356170509,0.9374053508329127,0.1270219349115796,0.9996012572570986,0.13019134952259404,0.07199389414440704,0.047719984665342864,False,False,False,False,False,False,False,False,False
ratio1_rho4_run05,1.0,4.0,5,complex-regular,regular,0.9998568949788026,0.11307420494699646,0.146251921849373,0.9915671966402904,sensitive-regular,regular,0.9999105593617517,0.09692074709742554,0.14579043325223434,0.9915825042946187,sensitive-regular,regular,0.9999105593617517,0.0933871781928319,0.14534410617854449,0.9915412865956058,periodic,periodic,0.9999642237447006,0.9217566885411408,0.13337372955825125,0.9983426529828522,periodic,periodic,0.9999463356170509,0.9217566885411408,0.13220638674555446,0.9984917594469646,0.04855695950181465,0.039016630888818314,0.08313787977881885,True,False,False,False,False,False,False,False,False
ratio20_rho0p25_run01,20.0,0.25,1,quasi-periodic,regular,0.9992129223834141,0.22665320545179202,0.20244158324026945,0.9498787519278472,complex-regular,regular,0.9995527968087581,0.20646138313982837,0.15834012029428465,0.9736736415967921,chaotic-like,chaotic-candidate,0.9992129223834141,0.19636547198384655,0.2371069772223003,0.9099179430742251,periodic,periodic,0.9993381392769619,0.9136799596163554,0.17771192552159754,0.9917426476682224,periodic,periodic,0.9996243493193567,0.9121655729429581,0.17799213153948065,0.9809849201573766,0.7416376195173088,1.239937105598792,0.35811617415798824,True,False,True,True,False,False,False,False,False
ratio20_rho0p25_run02,20.0,0.25,2,chaotic-like,chaotic-candidate,0.9990877054898664,0.08531044926804644,0.3475543022924586,0.7551552652251152,chaotic-like,chaotic-candidate,0.9990340411069173,0.10853104492680464,0.3560204173986964,0.7566398568803351,chaotic-like,chaotic-candidate,0.9990340411069173,0.11307420494699646,0.48755352658619544,0.39832137058072303,periodic,periodic,0.9995885730640574,0.9182231196365472,0.19500588489057863,0.9846688317587401,periodic,periodic,0.9994454680428599,0.9151943462897526,0.19537453036984775,0.9836329466941429,1.1670759121824164,1.3318272600188985,0.6023110898813903,False,False,False,False,False,False,False,True,False
ratio20_rho0p25_run03,20.0,0.25,3,chaotic-like,chaotic-candidate,0.9992308105110638,0.10853104492680464,0.5622448941882249,0.2728761945244445,chaotic-like,chaotic-candidate,0.9986405022986244,0.14184755174154468,0.5283346989255424,0.41834182620820015,chaotic-like,chaotic-candidate,0.9984079566391786,0.07773851590106007,0.5630643015343086,0.2733096579824968,periodic,periodic,0.9994275799152103,0.9742554265522464,0.27404711061270265,0.8929527334382131,periodic,periodic,0.9992665867663632,0.9742554265522464,0.2737679300112267,0.8960645212450925,1.3203611672975806,1.3351264582205862,1.145291246790188,False,False,False,False,False,False,False,False,False
ratio20_rho0p25_run04,20.0,0.25,4,chaotic-like,chaotic-candidate,0.9979070890649876,0.05956587582029278,0.5353603395839635,0.3337910951565818,chaotic-like,chaotic-candidate,0.9981932991073824,0.11509338717819283,0.5235653120267193,0.3966058249483373,chaotic-like,chaotic-candidate,0.9984079566391786,0.0757193336698637,0.5224201488140267,0.376837647598528,periodic,periodic,0.9992665867663632,0.9570923775870772,0.2602600993186856,0.8952273024099707,periodic,periodic,0.9994812442981593,0.95557799091368,0.25975781562145056,0.9049174894514992,1.286999673433237,1.2721257042897154,1.0015198233288,False,False,False,False,False,False,False,False,False
ratio20_rho0p25_run05,20.0,0.25,5,chaotic-like,chaotic-candidate,0.9865481280074415,0.19586067642604746,0.2093270158911586,0.9311584509090619,chaotic-like,chaotic-candidate,0.9899647603885301,0.14437152953054014,0.2045067499221896,0.9232414407449511,chaotic-like,chaotic-candidate,0.9891240183889952,0.08985360928823827,0.1907738446999792,0.9327557008253522,periodic,periodic,0.9990161529792677,0.7829379101463907,0.1545009316631942,0.9808358958981609,periodic,periodic,0.9996422374470064,0.7874810701665825,0.1552344917009962,0.9822477805975467,0.6304617074960117,0.49946965886459227,0.2798047881213551,False,False,False,False,False,False,False,False,False
