suite,case,reference,ref_case,reference_type,ndiv,dt,t,independent,independent_value,centroid_x,centroid_y,centroid_z,orientation_marker_x,orientation_marker_y,orientation_marker_z,centroid_error,orientation_marker_error,orientation_angle_error_rad
temporal,temporal_nd3_dt0p2,False,temporal_nd3_dt0p00625,impulse_self,3,0.2,10.0,dt,0.2,1.60944725531654,-5.7132251152367575,-1.0624180805420516,0.746749889007475,-0.21719851124862127,0.6286409229271558,0.00039561666699395757,0.11005715491142523,0.11011277556218105
temporal,temporal_nd3_dt0p1,False,temporal_nd3_dt0p00625,impulse_self,3,0.1,10.0,dt,0.1,1.6092228301788447,-5.713357461636443,-1.0625606904153735,0.7094336719415998,-0.24727426386629092,0.6599691686320224,9.859866598000802e-05,0.052896158313407146,0.052902327073687805
temporal,temporal_nd3_dt0p05,False,temporal_nd3_dt0p00625,impulse_self,3,0.05,10.0,dt,0.05,1.609166753487083,-5.713390440765246,-1.062596484099203,0.6904313072877233,-0.2629747420505475,0.6739057018310599,2.434638748045383e-05,0.024590616636318185,0.024591236257938243
temporal,temporal_nd3_dt0p025,False,temporal_nd3_dt0p00625,impulse_self,3,0.025,10.0,dt,0.025,1.6091527307251134,-5.713398681435089,-1.0626054326781846,0.6808678917129414,-0.2709742487370961,0.6804350597637813,5.782487465251105e-06,0.0105174894857092,0.010517537962095704
temporal,temporal_nd3_dt0p0125,False,temporal_nd3_dt0p00625,impulse_self,3,0.0125,10.0,dt,0.0125,1.6091492156379983,-5.713400737888165,-1.062607656198484,0.6760736199415192,-0.27500925036851165,0.6835893303957572,1.1428299302467217e-06,0.0035021766369053987,0.003502178426659969
temporal,temporal_nd3_dt0p00625,True,,impulse_self,3,0.00625,10.0,dt,0.00625,1.6091483412849048,-5.713401254849466,-1.0626081799521765,0.6736737182102295,-0.27703530189714365,0.6851387909727216,nan,nan,nan
grid,grid_nd1_dt0p05,False,grid_nd4_dt0p05,impulse_self,1,0.05,10.0,h,0.5,1.6106494598579961,-5.71738794360233,-1.0623651228329314,0.6928305040489636,-0.2575873828389143,0.6735240402995706,0.0047296145582255734,0.009226297652052455,0.009226330376707614
grid,grid_nd2_dt0p05,False,grid_nd4_dt0p05,impulse_self,2,0.05,10.0,h,0.25,1.6102591034614957,-5.71401263874263,-1.0642335007594614,0.6922335016357667,-0.25737642669474964,0.6742181799647108,0.003246234110289725,0.0092476208594189,0.009247653811499324
grid,grid_nd3_dt0p05,False,grid_nd4_dt0p05,impulse_self,3,0.05,10.0,h,0.125,1.609166753487083,-5.713390440765246,-1.062596484099203,0.6904313072877233,-0.2629747420505475,0.6739057018310599,0.0011928050409418566,0.0033600044924682972,0.0033600060729491177
grid,grid_nd4_dt0p05,True,,impulse_self,4,0.05,10.0,h,0.0625,1.6085589899529653,-5.713217786051255,-1.0615847540452708,0.6894860167432556,-0.2661857021335716,0.6736128002756308,nan,nan,nan
