shape_name,rho,energy_ratio,separation,n_repeats,n_ok,n_body_observations,repeat_classes,group_class,regime,chaotic_like_count,chaotic_like_fraction,body_broadband_chaos_score_mean,body_chaos_score_mean,body_spectral_entropy_mean,body_peak_fraction_mean,body_lmax_fraction_mean,n_periodic,n_quasi-periodic,n_sensitive-regular,n_complex-regular,n_chaotic-like,n_chaotic,n_chaotic-candidate,n_ambiguous,n_mixed,n_incomplete
ellipsoid_1_0p8_0p6,0.03,0.2,11.0,5,4,9,chaotic-like;complex-regular;chaotic-like;chaotic-like;complex-regular;complex-regular;incomplete;chaotic-like;chaotic-like,chaotic-like,chaotic-regime,5,0.5555555555555556,0.5879447784366152,0.5567968454792629,0.529140563173574,0.6784809072741045,0.3802295918367347,0,0,0,3,5,0,0,0,0,1
ellipsoid_1_0p8_0p6,0.03,0.2,3.0,5,4,9,complex-regular;complex-regular;complex-regular;complex-regular;complex-regular;complex-regular;complex-regular;complex-regular;incomplete,complex-regular,regular-regime,0,0.0,0.2723759651719403,0.24527902239930274,0.3605211875742847,0.9308578938957215,0.6651785714285714,0,0,0,8,0,0,0,0,0,1
ellipsoid_1_0p8_0p6,0.03,0.2,5.0,5,2,7,complex-regular;chaotic-like;incomplete;incomplete;incomplete;complex-regular;chaotic-like,chaotic-like,chaotic-regime,2,0.2857142857142857,0.6363808626456371,0.5951949508472035,0.5663007258619972,0.6365070604325078,0.4025510204081632,0,0,0,2,2,0,0,0,0,3
ellipsoid_1_0p8_0p6,0.03,0.2,8.0,5,3,8,incomplete;complex-regular;complex-regular;complex-regular;chaotic-like;chaotic-like;chaotic-like;incomplete,chaotic-like,chaotic-regime,3,0.375,0.6003578634809424,0.5655880209407468,0.5543950434680641,0.6340028168588082,0.4229591836734694,0,0,0,3,3,0,0,0,0,2
ellipsoid_1_0p8_0p6,0.03,0.55,11.0,5,5,10,complex-regular;chaotic-like;complex-regular;complex-regular;complex-regular;complex-regular;complex-regular;chaotic-like;chaotic-like;chaotic-like,complex-regular,chaotic-regime,4,0.4,0.43594949734845095,0.45534422000118147,0.4458182523366899,0.8315484136112324,0.4816326530612244,0,0,0,6,4,0,0,0,0,0
ellipsoid_1_0p8_0p6,0.03,0.55,3.0,5,4,9,complex-regular;chaotic-like;complex-regular;complex-regular;periodic;chaotic-like;quasi-periodic;chaotic-like;incomplete,mixed,chaotic-regime,3,0.3333333333333333,0.47891696250896587,0.4683129308797422,0.472734795940456,0.7776850774610649,0.5405612244897959,1,1,0,3,3,0,0,0,0,1
ellipsoid_1_0p8_0p6,0.03,0.55,5.0,5,4,9,periodic;complex-regular;complex-regular;complex-regular;incomplete;chaotic-like;complex-regular;chaotic-like;complex-regular,mixed,chaotic-regime,2,0.2222222222222222,0.42653370896087806,0.4015370522973878,0.4542925605209537,0.8073379889582173,0.6488520408163265,1,0,0,5,2,0,0,0,0,1
ellipsoid_1_0p8_0p6,0.03,0.55,8.0,5,5,10,chaotic-like;chaotic-like;complex-regular;complex-regular;chaotic-like;complex-regular;chaotic-like;complex-regular;chaotic-like;complex-regular,chaotic-like,chaotic-regime,5,0.5,0.5531006188878772,0.5345524592042198,0.5025641841426933,0.7260506982830236,0.4240816326530613,0,0,0,5,5,0,0,0,0,0
ellipsoid_1_0p8_0p6,0.03,1.5,11.0,5,4,9,periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;complex-regular;quasi-periodic;complex-regular;incomplete,mixed,chaotic-regime,4,0.4444444444444444,0.6394342486697999,0.6492970576446415,0.5182067368034481,0.7022773311869253,0.3258928571428571,1,1,0,2,4,0,0,0,0,1
ellipsoid_1_0p8_0p6,0.03,1.5,3.0,5,4,9,complex-regular;chaotic-like;periodic;complex-regular;incomplete;complex-regular;periodic;quasi-periodic;chaotic-like,mixed,regular-regime,2,0.2222222222222222,0.4103772116594907,0.4223921128280651,0.4205562869297888,0.836532821419063,0.5696428571428571,2,1,0,3,2,0,0,0,0,1
ellipsoid_1_0p8_0p6,0.03,1.5,5.0,5,5,10,chaotic-like;chaotic-like;chaotic-like;complex-regular;chaotic-like;quasi-periodic;complex-regular;chaotic-like;complex-regular;chaotic-like,chaotic-like,chaotic-regime,6,0.6,0.6156204205805915,0.6334548221750507,0.508222481944758,0.7015631745933482,0.2991836734693878,0,1,0,3,6,0,0,0,0,0
ellipsoid_1_0p8_0p6,0.03,1.5,8.0,5,5,10,quasi-periodic;chaotic-like;chaotic-like;complex-regular;chaotic-like;chaotic-like;complex-regular;complex-regular;chaotic-like;chaotic-like,chaotic-like,chaotic-regime,6,0.6,0.6301787035693832,0.6387971522077792,0.513975081116401,0.6938630532844046,0.3639795918367347,0,1,0,3,6,0,0,0,0,0
ellipsoid_1_0p8_0p6,0.03,11.0,11.0,5,5,10,chaotic-like;chaotic-like;chaotic-like;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;complex-regular;complex-regular,mixed,chaotic-regime,7,0.7,0.5676999994532697,0.6377918880394692,0.4585959532691194,0.7808925840011264,0.3516326530612245,1,0,0,2,7,0,0,0,0,0
