shape_name,rho,energy_ratio,separation,n_repeats,n_ok,n_body_observations,repeat_classes,group_class,regime,chaotic_like_count,chaotic_like_fraction,body_broadband_chaos_score_mean,body_chaos_score_mean,body_spectral_entropy_mean,body_peak_fraction_mean,body_lmax_fraction_mean,n_periodic,n_quasi-periodic,n_sensitive-regular,n_complex-regular,n_chaotic-like,n_chaotic,n_chaotic-candidate,n_ambiguous,n_mixed,n_incomplete
spheroid_1_0p7_0p7,0.03,0.2,11.0,5,5,10,periodic;quasi-periodic;complex-regular;complex-regular;quasi-periodic;periodic;complex-regular;complex-regular;complex-regular;complex-regular,complex-regular,regular-regime,0,0.0,0.18013487889247773,0.14967718578718112,0.30273530473400967,0.9874128945970971,0.8647959183673469,2,2,0,6,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,0.2,3.0,5,1,6,complex-regular;quasi-periodic;incomplete;incomplete;incomplete;incomplete,complex-regular,regular-regime,0,0.0,0.16633012994935134,0.12946770458680648,0.28126390734275475,0.9863247335040245,0.8596938775510203,0,1,0,1,0,0,0,0,0,4
spheroid_1_0p7_0p7,0.03,0.2,5.0,5,3,8,periodic;complex-regular;complex-regular;complex-regular;incomplete;incomplete;complex-regular;complex-regular,complex-regular,regular-regime,0,0.0,0.16095556235062441,0.1599829289029488,0.27592382117249903,0.9959520677824871,0.9154761904761904,1,0,0,5,0,0,0,0,0,2
spheroid_1_0p7_0p7,0.03,0.2,8.0,5,5,10,periodic;complex-regular;quasi-periodic;periodic;periodic;complex-regular;complex-regular;complex-regular;complex-regular;complex-regular,complex-regular,regular-regime,0,0.0,0.16791307179476733,0.13744932665245377,0.28534912412572755,0.9898708380916569,0.8073469387755102,3,1,0,6,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,0.55,11.0,5,5,10,periodic;quasi-periodic;periodic;periodic;complex-regular;quasi-periodic;periodic;complex-regular;complex-regular;periodic,periodic,regular-regime,0,0.0,0.18103498842976606,0.17658938202089353,0.30892840383234,0.9914157014660736,0.9006122448979592,5,2,0,3,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,0.55,3.0,5,3,8,periodic;quasi-periodic;periodic;quasi-periodic;incomplete;incomplete;quasi-periodic;complex-regular,quasi-periodic,regular-regime,0,0.0,0.17194697358836455,0.15884681942911452,0.2938627382701577,0.9903257140454448,0.9066326530612244,2,3,0,1,0,0,0,0,0,2
spheroid_1_0p7_0p7,0.03,0.55,5.0,5,5,10,periodic;periodic;complex-regular;chaotic-like;periodic;periodic;complex-regular;complex-regular;quasi-periodic;complex-regular,mixed,regular-regime,1,0.1,0.20639567891776892,0.21003657809377327,0.31760096285556116,0.9672310256812032,0.7551020408163266,4,1,0,4,1,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,0.55,8.0,5,4,9,complex-regular;periodic;periodic;periodic;complex-regular;complex-regular;incomplete;quasi-periodic;complex-regular,complex-regular,regular-regime,0,0.0,0.18142115512428603,0.15369071555551098,0.3104601749212463,0.9908896779251195,0.880484693877551,3,1,0,4,0,0,0,0,0,1
spheroid_1_0p7_0p7,0.03,1.5,11.0,5,4,9,periodic;quasi-periodic;quasi-periodic;quasi-periodic;incomplete;periodic;quasi-periodic;complex-regular;quasi-periodic,quasi-periodic,regular-regime,0,0.0,0.19546568682503995,0.18130718885532765,0.33376372395693665,0.9899212823238313,0.8639030612244898,2,5,0,1,0,0,0,0,0,1
spheroid_1_0p7_0p7,0.03,1.5,3.0,5,5,10,complex-regular;periodic;periodic;periodic;periodic;periodic;quasi-periodic;quasi-periodic;periodic;periodic,periodic,regular-regime,0,0.0,0.15627429306269455,0.17978101570384783,0.2678987881074764,0.9963685644895977,0.788469387755102,7,2,0,1,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,1.5,5.0,5,5,10,quasi-periodic;periodic;quasi-periodic;periodic;complex-regular;quasi-periodic;quasi-periodic;quasi-periodic;complex-regular;quasi-periodic,quasi-periodic,regular-regime,0,0.0,0.1828920471614034,0.1566240806498796,0.31352922370526304,0.9928841594752518,0.886734693877551,2,6,0,2,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,1.5,8.0,5,5,10,complex-regular;periodic;quasi-periodic;quasi-periodic;complex-regular;periodic;quasi-periodic;periodic;quasi-periodic;quasi-periodic,quasi-periodic,regular-regime,0,0.0,0.1796415704182807,0.17193707557973775,0.30675843210970966,0.9904246850082081,0.8211224489795919,3,5,0,2,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,11.0,11.0,5,5,10,periodic;quasi-periodic;periodic;periodic;periodic;periodic;quasi-periodic;quasi-periodic;periodic;periodic,periodic,regular-regime,0,0.0,0.17712701639036293,0.1607712676272836,0.290581445007386,0.9963414719206443,0.7582653061224491,7,3,0,0,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,11.0,3.0,5,5,10,quasi-periodic;periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;periodic;periodic,quasi-periodic,regular-regime,0,0.0,0.17566040711113934,0.15071614062749217,0.3006876789042747,0.9961249271670536,0.7750000000000001,3,7,0,0,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,11.0,5.0,5,5,10,periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;quasi-periodic;quasi-periodic;quasi-periodic,periodic,regular-regime,0,0.0,0.18904917683326386,0.15726408020776544,0.3236709383605695,0.9946148758272016,0.7385714285714287,5,5,0,0,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,11.0,8.0,5,5,10,periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic;quasi-periodic,periodic,regular-regime,0,0.0,0.16222713264507677,0.13918425269074544,0.27810365596298875,0.9976296739949394,0.8196938775510205,6,4,0,0,0,0,0,0,0,0
spheroid_1_0p7_0p7,0.03,30.0,11.0,5,5,10,periodic;quasi-periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;quasi-periodic,periodic,regular-regime,0,0.0,0.16695078384774703,0.14269132560825817,0.2862013437389949,0.9981188742104455,0.7483673469387755,7,3,0,0,0,0,0,0,0,0
