name,shape_name,rho,energy_ratio,separation,repeat,status,class_body1,class_body2,class_combined,class_consensus,body1_recurrence_rate,body1_recurrence_epsilon,body1_determinism,body1_lmax_fraction,body1_mean_diag,body1_diag_entropy,body1_nearest_distance,body1_return_cv,body1_spectral_entropy,body1_peak_fraction,body1_class,body2_recurrence_rate,body2_recurrence_epsilon,body2_determinism,body2_lmax_fraction,body2_mean_diag,body2_diag_entropy,body2_nearest_distance,body2_return_cv,body2_spectral_entropy,body2_peak_fraction,body2_class,combined_recurrence_rate,combined_recurrence_epsilon,combined_determinism,combined_lmax_fraction,combined_mean_diag,combined_diag_entropy,combined_nearest_distance,combined_return_cv,combined_spectral_entropy,combined_peak_fraction,combined_class
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01,spheroid_1_0p7_0p7,1.0,0.25,3.0,1,ok,periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.5729915590748225,0.9891203703703704,0.9438775510204082,74.96491228070175,2.9540666776021434,0.8141217236544341,0.10787076801454322,0.213277734401098,0.9980788406653369,periodic,0.030001041702836902,1.7828148939758788,0.9875771604938272,0.5112244897959184,43.982817869415804,3.8171784802012594,0.6600621619178386,0.8255703847125104,0.2645307856111927,0.9826117758486591,quasi-periodic,0.030001041702836902,3.559634382180431,0.9844135802469136,0.9020408163265307,80.74683544303798,3.009284372922922,1.495528149764049,0.0,0.3119760610140302,0.9779778094587784,quasi-periodic
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02,spheroid_1_0p7_0p7,1.0,0.25,3.0,2,ok,quasi-periodic,quasi-periodic,ambiguous,quasi-periodic,0.030001041702836902,2.2497158564218513,0.9805555555555555,0.4051020408163265,37.266862170087975,2.961981826687029,0.41454157498466737,0.3380450441023293,0.3570584473440493,0.9092350899730349,quasi-periodic,0.030001041702836902,2.219578754058211,0.946604938271605,0.5040816326530613,22.510091743119265,2.2592827917006044,0.380240729413443,0.42737393245951466,0.35794608453879967,0.9190796825552618,quasi-periodic,0.030001041702836902,4.759413092891643,0.5010802469135802,0.16122448979591836,6.47457627118644,1.516528191655102,3.900267666950546,0.4552404762674982,0.43946084281729864,0.737302412371386,ambiguous
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01,spheroid_1_0p7_0p7,1.0,0.25,8.0,1,ok,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,2.101421488336668,0.970679012345679,0.5122448979591837,45.415162454873645,2.224812465132519,0.4067904489857555,0.016150250747812775,0.23423387281643576,0.9872967973909891,quasi-periodic,0.030001041702836902,1.769994822013537,0.9931327160493827,0.6510204081632653,101.34645669291339,3.8814632644748337,0.6475846626890898,0.19613367632633882,0.21166937801668007,0.9915738591763311,quasi-periodic,0.030001041702836902,3.9772598717942294,0.9641203703703703,0.936734693877551,42.79109589041096,2.2255724805754595,2.3602628873747973,0.006384421571111671,0.30133527983190345,0.937156904879466,quasi-periodic
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02,spheroid_1_0p7_0p7,1.0,0.25,8.0,2,ok,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.4061529764915741,0.9665123456790123,0.8438775510204082,33.13756613756614,2.4138011743474146,0.241117423091878,0.589062265246338,0.2562068754930315,0.9803697742433565,quasi-periodic,0.030001041702836902,2.502413575367083,0.9168981481481482,0.4806122448979592,19.51231527093596,2.025204767700472,0.3797383966846053,0.01823301079723075,0.3182161948067942,0.9645135668689955,quasi-periodic,0.030001041702836902,3.9354871475244577,0.898070987654321,0.9326530612244898,10.094535993061578,1.7643796244019128,2.7310057794455433,0.33553648770802236,0.3574935346426677,0.8966937187362359,quasi-periodic
spheroid_1_0p7_0p7_rho1_E4_sep3_run01,spheroid_1_0p7_0p7,1.0,4.0,3.0,1,ok,periodic,periodic,quasi-periodic,periodic,0.030001041702836902,1.9555337195445501,0.975462962962963,0.9428571428571428,41.17915309446254,2.1257413546882256,0.8854864113734542,0.00832545311092468,0.2093006955740946,0.999863097645512,periodic,0.030001041702836902,2.572382157448044,0.9847222222222223,0.9295918367346939,56.469026548672566,2.4633944378606993,1.3093195285572157,0.0,0.169814508826929,0.9999293077629757,periodic,0.030001041702836902,3.7102059545093207,0.9701388888888889,0.9255102040816326,36.549418604651166,2.502210032206866,1.7265021420814897,0.0014281867763221241,0.2770682029274616,0.9867910418767315,quasi-periodic
spheroid_1_0p7_0p7_rho1_E4_sep3_run02,spheroid_1_0p7_0p7,1.0,4.0,3.0,2,ok,periodic,periodic,periodic,periodic,0.030001041702836902,1.6277864042621197,0.9921296296296296,0.9336734693877551,54.714893617021275,2.6866552328990814,0.6300887505445081,0.0021947748113795925,0.19057588252957042,0.9991463570540124,periodic,0.030001041702836902,1.9427221693043848,0.9933641975308642,0.9459183673469388,102.17460317460318,3.0908349699685815,0.9137902721901332,0.0075066793760709995,0.16410009677447104,0.9999177001956494,periodic,0.030001041702836902,3.768954441772965,0.9787037037037037,0.7959183673469388,28.249443207126948,2.3064863329837952,2.414482527244159,0.10852277139753827,0.17255215716703998,0.9953533371143461,periodic
spheroid_1_0p7_0p7_rho1_E4_sep8_run01,spheroid_1_0p7_0p7,1.0,4.0,8.0,1,ok,periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.4234515235829392,0.9981481481481481,0.9306122448979591,91.74468085106383,3.136473872253276,0.4949157419247622,0.005105498147161222,0.1986668456176154,0.9997158121409608,periodic,0.030001041702836902,1.7694761976315883,0.9695216049382716,0.9479591836734694,67.91891891891892,1.8191568337338369,0.5767250878095714,0.0,0.25631874913953095,0.9949186661180691,quasi-periodic,0.030001041702836902,3.492092068993973,0.9861111111111112,0.9326530612244898,51.951219512195124,2.483280647711094,1.4995899288638914,0.005763568031898625,0.2837844878555714,0.9974811725723512,quasi-periodic
spheroid_1_0p7_0p7_rho1_E4_sep8_run02,spheroid_1_0p7_0p7,1.0,4.0,8.0,2,ok,periodic,periodic,periodic,periodic,0.030001041702836902,1.6739950794027612,0.9726851851851852,0.936734693877551,46.00729927007299,2.4367935045578157,0.6600281482080708,0.007976027344081744,0.2027319417415265,0.9994477200272649,periodic,0.030001041702836902,2.0564066241625976,0.9568672839506173,0.9377551020408164,28.77262180974478,2.306185881030453,0.9214899079972196,0.008062684168991627,0.1875081346619251,0.9996222667476633,periodic,0.030001041702836902,2.7858883308299696,0.966820987654321,0.9377551020408164,32.29381443298969,1.9805108846245436,1.202718794751671,0.0,0.21492349271229108,0.9994742540472711,periodic
spheroid_1_0p7_0p7_rho1_E16_sep3_run01,spheroid_1_0p7_0p7,1.0,16.0,3.0,1,ok,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,0.7344589553689066,0.9939814814814815,0.6091836734693877,57.50892857142857,3.741237772434215,0.167662285372838,0.3106757520798657,0.19947930479347006,0.9999613858142704,quasi-periodic,0.030001041702836902,0.47368006786939415,0.9957561728395061,0.373469387755102,58.926940639269404,4.365340233742346,0.07737706445129022,0.6081946436802991,0.18009761549767858,0.9996386189724137,quasi-periodic,0.030001041702836902,2.646639155086744,0.9902777777777778,0.9275510204081633,53.475,2.4088533732035464,1.214895134310059,0.004774030752418772,0.22398165943777587,0.9998054050606571,quasi-periodic
spheroid_1_0p7_0p7_rho1_E16_sep3_run02,spheroid_1_0p7_0p7,1.0,16.0,3.0,2,ok,periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.7236404973832729,0.9745370370370371,0.936734693877551,50.72289156626506,2.4882710224869165,0.6485243931296684,0.0,0.19614372344900513,0.9997225483343892,periodic,0.030001041702836902,0.789161955155078,0.9822530864197531,0.9306122448979591,44.666666666666664,2.9114299173169256,0.1624386076800478,0.18441908702174833,0.19666993307717195,0.9999463541696508,quasi-periodic,0.030001041702836902,3.851076481386793,0.9319444444444445,0.9336734693877551,21.078534031413614,2.122149992918634,3.060238757296677,0.6573368042222436,0.28367911204301666,0.9985384827944739,quasi-periodic
