name,shape_name,rho,energy_ratio,separation,repeat,status,class_body1,class_body2,class_combined,class_consensus,body1_recurrence_rate,body1_recurrence_epsilon,body1_determinism,body1_lmax_fraction,body1_mean_diag,body1_diag_entropy,body1_nearest_distance,body1_return_cv,body1_divergence_slope,body1_divergence_gain,body1_spectral_entropy,body1_peak_fraction,body1_dominant_fraction,body1_harmonicity,body1_class,body2_recurrence_rate,body2_recurrence_epsilon,body2_determinism,body2_lmax_fraction,body2_mean_diag,body2_diag_entropy,body2_nearest_distance,body2_return_cv,body2_divergence_slope,body2_divergence_gain,body2_spectral_entropy,body2_peak_fraction,body2_dominant_fraction,body2_harmonicity,body2_class,combined_recurrence_rate,combined_recurrence_epsilon,combined_determinism,combined_lmax_fraction,combined_mean_diag,combined_diag_entropy,combined_nearest_distance,combined_return_cv,combined_divergence_slope,combined_divergence_gain,combined_spectral_entropy,combined_peak_fraction,combined_dominant_fraction,combined_harmonicity,combined_class
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01,spheroid_1_0p7_0p7,1.0,0.25,3.0,1,ok,periodic,periodic,quasi-periodic,periodic,0.030001041702836902,1.5729915590748225,0.9891203703703704,0.9438775510204082,74.96491228070175,2.9540666776021434,0.8141217236544341,0.10787076801454322,-0.0020738137099835085,0.0,0.213277734401098,0.9997570868399938,0.4218960377426696,0.9999999999999999,periodic,0.030001041702836902,1.7828148939758788,0.9875771604938272,0.5112244897959184,43.982817869415804,3.8171784802012594,0.6600621619178386,0.8255703847125104,0.0031162036805390454,0.06814690581688879,0.2645307856111927,0.9962685102084592,0.42358816856072407,1.0,periodic,0.030001041702836902,3.559634382180431,0.9844135802469136,0.9020408163265307,80.74683544303798,3.009284372922922,1.495528149764049,0.0,-9.787123148389042e-06,0.0014912010720087357,0.3119760610140302,0.9952950304402831,0.24652989558230473,0.9999999999999998,quasi-periodic
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02,spheroid_1_0p7_0p7,1.0,0.25,3.0,2,ok,periodic,quasi-periodic,ambiguous,mixed,0.030001041702836902,2.2497158564218513,0.9805555555555555,0.4051020408163265,37.266862170087975,2.961981826687029,0.41454157498466737,0.3380450441023293,0.009189313128889582,0.16944439563946964,0.3570584473440493,0.9785611737080154,0.29419263511783966,0.9999999999999998,periodic,0.030001041702836902,2.219578754058211,0.946604938271605,0.5040816326530613,22.510091743119265,2.2592827917006044,0.380240729413443,0.42737393245951466,0.008265568543791737,0.14584909622132008,0.35794608453879967,0.9763643457380464,0.25156278584038105,1.0,quasi-periodic,0.030001041702836902,4.759413092891643,0.5010802469135802,0.16122448979591836,6.47457627118644,1.516528191655102,3.900267666950546,0.4552404762674982,0.0062145390586775895,0.5072181818614536,0.43946084281729864,0.8847755184828748,0.15251351431949,1.0000000000000002,ambiguous
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01,spheroid_1_0p7_0p7,1.0,0.25,8.0,1,ok,periodic,periodic,periodic,periodic,0.030001041702836902,2.101421488336668,0.970679012345679,0.5122448979591837,45.415162454873645,2.224812465132519,0.4067904489857555,0.016150250747812775,0.0008330619410218049,0.016897520383493913,0.23423387281643576,0.9992183659139541,0.5573142973204996,1.0,periodic,0.030001041702836902,1.769994822013537,0.9931327160493827,0.6510204081632653,101.34645669291339,3.8814632644748337,0.6475846626890898,0.19613367632633882,0.005242458407951941,0.08585686635178824,0.21166937801668007,0.9978506316818879,0.5261829747173731,1.0000000000000002,periodic,0.030001041702836902,3.9772598717942294,0.9641203703703703,0.936734693877551,42.79109589041096,2.2255724805754595,2.3602628873747973,0.006384421571111671,4.068530693837019e-06,0.014354759457003166,0.30133527983190345,0.9965270028253093,0.39399793384879545,1.0,periodic
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02,spheroid_1_0p7_0p7,1.0,0.25,8.0,2,ok,periodic,periodic,quasi-periodic,periodic,0.030001041702836902,1.4061529764915741,0.9665123456790123,0.8438775510204082,33.13756613756614,2.4138011743474146,0.241117423091878,0.589062265246338,0.005592744453388644,0.09396493120083682,0.2562068754930315,0.9953662654035684,0.4414714009212931,0.9999999999999997,periodic,0.030001041702836902,2.502413575367083,0.9168981481481482,0.4806122448979592,19.51231527093596,2.025204767700472,0.3797383966846053,0.01823301079723075,0.00232349993556294,0.0410685674897301,0.3182161948067942,0.996040520585323,0.3014015013904066,1.0000000000000002,periodic,0.030001041702836902,3.9354871475244577,0.898070987654321,0.9326530612244898,10.094535993061578,1.7643796244019128,2.7310057794455433,0.33553648770802236,0.0013831542681729263,0.08556104559451815,0.3574935346426677,0.981687094637107,0.23714575477407274,1.0,quasi-periodic
spheroid_1_0p7_0p7_rho1_E4_sep3_run01,spheroid_1_0p7_0p7,1.0,4.0,3.0,1,ok,periodic,periodic,periodic,periodic,0.030001041702836902,1.9555337195445501,0.975462962962963,0.9428571428571428,41.17915309446254,2.1257413546882256,0.8854864113734542,0.00832545311092468,0.0002299497831919209,0.047240580148201636,0.2093006955740946,0.9999682330939209,0.43397984256092703,1.0000000000000002,periodic,0.030001041702836902,2.572382157448044,0.9847222222222223,0.9295918367346939,56.469026548672566,2.4633944378606993,1.3093195285572157,0.0,0.0003128332282706001,0.011187981916615979,0.169814508826929,0.99999166772164,0.6708390142535072,1.0,periodic,0.030001041702836902,3.7102059545093207,0.9701388888888889,0.9255102040816326,36.549418604651166,2.502210032206866,1.7265021420814897,0.0014281867763221241,0.0006153567979499955,0.010945269040507905,0.2770682029274616,0.9998206806899298,0.41326582206569434,1.0,periodic
spheroid_1_0p7_0p7_rho1_E4_sep3_run02,spheroid_1_0p7_0p7,1.0,4.0,3.0,2,ok,periodic,periodic,periodic,periodic,0.030001041702836902,1.6277864042621197,0.9921296296296296,0.9336734693877551,54.714893617021275,2.6866552328990814,0.6300887505445081,0.0021947748113795925,-0.0006539171391592561,0.02521744126416117,0.19057588252957042,0.9998408389678796,0.47645137750361727,1.0,periodic,0.030001041702836902,1.9427221693043848,0.9933641975308642,0.9459183673469388,102.17460317460318,3.0908349699685815,0.9137902721901332,0.0075066793760709995,9.875146184852536e-05,0.005168716579202848,0.16410009677447104,0.9999820810834101,0.6699858668898104,1.0,periodic,0.030001041702836902,3.768954441772965,0.9787037037037037,0.7959183673469388,28.249443207126948,2.3064863329837952,2.414482527244159,0.10852277139753827,0.00045439295748483683,0.015771834066851648,0.17255215716703998,0.9993224784411021,0.721703940550804,1.0000000000000002,periodic
spheroid_1_0p7_0p7_rho1_E4_sep8_run01,spheroid_1_0p7_0p7,1.0,4.0,8.0,1,ok,periodic,periodic,periodic,periodic,0.030001041702836902,1.4234515235829392,0.9981481481481481,0.9306122448979591,91.74468085106383,3.136473872253276,0.4949157419247622,0.005105498147161222,0.0023617433540546106,0.03894485422565792,0.1986668456176154,0.9999536272591945,0.44737081372192283,1.0,periodic,0.030001041702836902,1.7694761976315883,0.9695216049382716,0.9479591836734694,67.91891891891892,1.8191568337338369,0.5767250878095714,0.0,0.0008034828369497757,0.01346939319839954,0.25631874913953095,0.9995730979020188,0.4118386340670423,1.0,periodic,0.030001041702836902,3.492092068993973,0.9861111111111112,0.9326530612244898,51.951219512195124,2.483280647711094,1.4995899288638914,0.005763568031898625,-0.0006458987174405745,0.03483339703224277,0.2837844878555714,0.9997339657714269,0.2589386463419946,1.0,periodic
spheroid_1_0p7_0p7_rho1_E4_sep8_run02,spheroid_1_0p7_0p7,1.0,4.0,8.0,2,ok,periodic,periodic,periodic,periodic,0.030001041702836902,1.6739950794027612,0.9726851851851852,0.936734693877551,46.00729927007299,2.4367935045578157,0.6600281482080708,0.007976027344081744,0.001038203740646143,0.020630437368754265,0.2027319417415265,0.9999555347550994,0.4605135448809785,1.0000000000000002,periodic,0.030001041702836902,2.0564066241625976,0.9568672839506173,0.9377551020408164,28.77262180974478,2.306185881030453,0.9214899079972196,0.008062684168991627,-0.0011883834001281603,0.025209352158210036,0.1875081346619251,0.9999253590035762,0.5698269406384161,1.0000000000000002,periodic,0.030001041702836902,2.7858883308299696,0.966820987654321,0.9377551020408164,32.29381443298969,1.9805108846245436,1.202718794751671,0.0,0.00031398328655986096,0.008120630954949465,0.21492349271229108,0.9998959368347426,0.45300021365998117,1.0,periodic
spheroid_1_0p7_0p7_rho1_E16_sep3_run01,spheroid_1_0p7_0p7,1.0,16.0,3.0,1,ok,periodic,periodic,periodic,periodic,0.030001041702836902,0.7344589553689066,0.9939814814814815,0.6091836734693877,57.50892857142857,3.741237772434215,0.167662285372838,0.3106757520798657,0.00405974123644935,0.07860291367769924,0.19947930479347006,0.9999974866097866,0.5072257801597577,0.9999999999999998,periodic,0.030001041702836902,0.47368006786939415,0.9957561728395061,0.373469387755102,58.926940639269404,4.365340233742346,0.07737706445129022,0.6081946436802991,0.01601229246422164,0.26233150511714975,0.18009761549767858,0.9999365909580825,0.5468443800541456,1.0,periodic,0.030001041702836902,2.646639155086744,0.9902777777777778,0.9275510204081633,53.475,2.4088533732035464,1.214895134310059,0.004774030752418772,-0.0002705142713396223,0.0036896990867148773,0.22398165943777587,0.9999635095802822,0.41072125293409406,0.9999999999999998,periodic
spheroid_1_0p7_0p7_rho1_E16_sep3_run02,spheroid_1_0p7_0p7,1.0,16.0,3.0,2,ok,periodic,periodic,periodic,periodic,0.030001041702836902,1.7236404973832729,0.9745370370370371,0.936734693877551,50.72289156626506,2.4882710224869165,0.6485243931296684,0.0,0.0006675168993970906,0.01617382883987889,0.19614372344900513,0.999913444668885,0.4937177169915813,1.0,periodic,0.030001041702836902,0.789161955155078,0.9822530864197531,0.9306122448979591,44.666666666666664,2.9114299173169256,0.1624386076800478,0.18441908702174833,0.0029528882305048638,0.04455679440154818,0.19666993307717195,0.9999880955231515,0.4755422952900902,1.0000000000000002,periodic,0.030001041702836902,3.851076481386793,0.9319444444444445,0.9336734693877551,21.078534031413614,2.122149992918634,3.060238757296677,0.6573368042222436,0.0019917751173935943,0.11930073530034227,0.28367911204301666,0.9999414393012126,0.26289032346703595,1.0,periodic
