shape_name,rho,energy_ratio,separation,n_repeats,n_ok,repeat_classes,group_class,n_periodic,n_quasi-periodic,n_chaotic,n_ambiguous,n_incomplete,n_mixed
ellipsoid_1_0p8_0p6,0.03,0.25,3.0,2,1,incomplete;ambiguous,ambiguous,0,0,0,1,1,0
ellipsoid_1_0p8_0p6,0.03,0.25,8.0,2,1,ambiguous;incomplete,ambiguous,0,0,0,1,1,0
ellipsoid_1_0p8_0p6,0.03,16.0,3.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
ellipsoid_1_0p8_0p6,0.03,16.0,8.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
ellipsoid_1_0p8_0p6,0.03,4.0,3.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
ellipsoid_1_0p8_0p6,0.03,4.0,8.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
ellipsoid_1_0p8_0p6,0.1,0.25,3.0,2,2,chaotic;ambiguous,chaotic,0,0,1,1,0,0
ellipsoid_1_0p8_0p6,0.1,0.25,8.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
ellipsoid_1_0p8_0p6,0.1,16.0,3.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
ellipsoid_1_0p8_0p6,0.1,16.0,8.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
ellipsoid_1_0p8_0p6,0.1,4.0,3.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
ellipsoid_1_0p8_0p6,0.1,4.0,8.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
ellipsoid_1_0p8_0p6,1.0,0.25,3.0,2,2,ambiguous;quasi-periodic,ambiguous,0,1,0,1,0,0
ellipsoid_1_0p8_0p6,1.0,0.25,8.0,2,2,quasi-periodic;ambiguous,quasi-periodic,0,1,0,1,0,0
ellipsoid_1_0p8_0p6,1.0,16.0,3.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
ellipsoid_1_0p8_0p6,1.0,16.0,8.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
ellipsoid_1_0p8_0p6,1.0,4.0,3.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
ellipsoid_1_0p8_0p6,1.0,4.0,8.0,2,2,periodic;quasi-periodic,periodic,1,1,0,0,0,0
spheroid_1_0p7_0p7,0.03,0.25,3.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
spheroid_1_0p7_0p7,0.03,0.25,8.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
spheroid_1_0p7_0p7,0.03,16.0,3.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,0.03,16.0,8.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,0.03,4.0,3.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,0.03,4.0,8.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,0.1,0.25,3.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
spheroid_1_0p7_0p7,0.1,0.25,8.0,2,2,ambiguous;ambiguous,ambiguous,0,0,0,2,0,0
spheroid_1_0p7_0p7,0.1,16.0,3.0,2,2,periodic;quasi-periodic,periodic,1,1,0,0,0,0
spheroid_1_0p7_0p7,0.1,16.0,8.0,2,2,periodic;quasi-periodic,periodic,1,1,0,0,0,0
spheroid_1_0p7_0p7,0.1,4.0,3.0,2,2,quasi-periodic;periodic,quasi-periodic,1,1,0,0,0,0
spheroid_1_0p7_0p7,0.1,4.0,8.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,1.0,0.25,3.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,1.0,0.25,8.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,1.0,16.0,3.0,2,2,quasi-periodic;quasi-periodic,quasi-periodic,0,2,0,0,0,0
spheroid_1_0p7_0p7,1.0,16.0,8.0,2,2,quasi-periodic;periodic,quasi-periodic,1,1,0,0,0,0
spheroid_1_0p7_0p7,1.0,4.0,3.0,2,2,periodic;periodic,periodic,2,0,0,0,0,0
spheroid_1_0p7_0p7,1.0,4.0,8.0,2,2,quasi-periodic;periodic,quasi-periodic,1,1,0,0,0,0
